GTIN,Mediname
7680680690017,EZETIMIB ROSUVA Spirig HC Filmtab 10/10mg 30 Stk
7680680690024,EZETIMIB ROSUVA Spirig HC Filmtab 10/10mg 100 Stk
7680680690031,EZETIMIB ROSUVA Spirig HC Filmtab 10/20mg 30 Stk
7680680690048,EZETIMIB ROSUVA Spirig HC Filmtab 10/20mg 100 Stk
7680680690055,EZETIMIB ROSUVA Spirig HC Filmtab 10/5mg 30 Stk
7680680690062,EZETIMIB ROSUVA Spirig HC Filmtab 10/5mg 100 Stk
7680681050018,EZETIMIB ATORVAST Spirig HC Tab 10/10mg 30 Stk
7680681050025,EZETIMIB ATORVAST Spirig HC Tab 10/10mg 90 Stk
7680681050032,EZETIMIB ATORVAST Spirig HC Tab 10/20mg 30 Stk
7680681050049,EZETIMIB ATORVAST Spirig HC Tab 10/20mg 90 Stk
7680681050056,EZETIMIB ATORVAST Spirig HC Tab 10/40mg 30 Stk
7680681050063,EZETIMIB ATORVAST Spirig HC Tab 10/40mg 90 Stk
7680681050070,EZETIMIB ATORVAST Spirig HC Tab 10/80mg 30 Stk
7680681050087,EZETIMIB ATORVAST Spirig HC Tab 10/80mg 90 Stk
7680658280011,ESOMEPRAZOL Spirig HC Filmtabl 20 mg 14 Stk
7680658280028,ESOMEPRAZOL Spirig HC Filmtabl 20 mg 30 Stk
7680658280035,ESOMEPRAZOL Spirig HC Filmtabl 20 mg 60 Stk
7680658280042,ESOMEPRAZOL Spirig HC Filmtabl 20 mg 100 Stk
7680658280066,ESOMEPRAZOL Spirig HC Filmtabl 40 mg 14 Stk
7680658280073,ESOMEPRAZOL Spirig HC Filmtabl 40 mg 30 Stk
7680658280080,ESOMEPRAZOL Spirig HC Filmtabl 40 mg 60 Stk
7680658280097,ESOMEPRAZOL Spirig HC Filmtabl 40 mg 100 Stk
7680671390032,FAMPYRA Ret Tabl 10 mg 4x14 Stk
7680665940014,GABAPENTIN Spirig HC Kaps 100 mg 50 Stk
7680665940021,GABAPENTIN Spirig HC Kaps 100 mg 100 Stk
7680665940038,GABAPENTIN Spirig HC Kaps 300 mg 50 Stk
7680665940045,GABAPENTIN Spirig HC Kaps 300 mg 100 Stk
7680665940052,GABAPENTIN Spirig HC Kaps 400 mg 50 Stk
7680665940069,GABAPENTIN Spirig HC Kaps 400 mg 100 Stk
7680656721011,METOJECT Autoinjektor 7.5 mg/0.15 ml Fertpen 1 Stk
7680656721066,METOJECT Autoinjektor 10 mg/0.2 ml Fertpen 1 Stk
7680656721110,METOJECT Autoinjektor 12.5 mg/0.25 ml Fertpen 1 Stk
7680656721165,METOJECT Autoinjektor 15 mg/0.3 ml Fertpen 1 Stk
7680656721219,METOJECT Autoinjektor 17.5 mg/0.35 ml Fertpen 1 Stk
7680656721264,METOJECT Autoinjektor 20 mg/0.4 ml Fertpen 1 Stk
7680656721318,METOJECT Autoinjektor 22.5 mg/0.45 ml Fertpen 1 Stk
7680656721363,METOJECT Autoinjektor 25 mg/0.5 ml Fertpen 1 Stk
7680298120210,ELTROXIN LF Tabl 50 µg 100 Stk
7680298120012,ELTROXIN LF Tabl 100 µg 100 Stk
7680625680042,CETIRIZIN Spirig HC Filmtabl 10 mg 10 Stk
7680625680073,CETIRIZIN Spirig HC Filmtabl 10 mg 30 Stk
7680625680080,CETIRIZIN Spirig HC Filmtabl 10 mg 50 Stk
7680652800017,ATOVAQUON PLUS Spirig HC Filmtabl 250 mg / 100 mg 12 Stk
7680652800024,ATOVAQUON PLUS Spirig HC Filmtabl 250 mg / 100 mg 24 Stk
7680696960012,MOUNJARO KwikPen Inj Lös 2.5 mg/0.6 ml 1 Stk
7680696960029,MOUNJARO KwikPen Inj Lös 5 mg/0.6 ml 1 Stk
7680696960036,MOUNJARO KwikPen Inj Lös 7.5 mg/0.6 ml 1 Stk
7680696960043,MOUNJARO KwikPen Inj Lös 10 mg/0.6 ml 1 Stk
7680696960050,MOUNJARO KwikPen Inj Lös 12.5 mg/0.6 ml 1 Stk
7680696960067,MOUNJARO KwikPen Inj Lös 15 mg/0.6 ml 1 Stk
7680689680019,MELATONIN Spirig HC Ret Tabl 2 mg 21 Stk
7680689680026,MELATONIN Spirig HC Ret Tabl 2 mg 100 Stk
7680623620019,MONTELUKAST Mepha Lactab 10 mg 28 Stk
7680672570013,RINVOQ Ret Tabl 15 mg 28 Stk
7680672570037,RINVOQ Ret Tabl 30 mg 28 Stk
7680672570044,RINVOQ Ret Tabl 45 mg 28 Stk
